"Category","Name","UUID","Url"
"Alice in Borderland","Ann","7e3938a0-9781-11f0-ac4d-0e6c5ec90c0f","https://occ-0-8782-2219.1.nflxso.net/dnm/api/v6/vN7bi_My87NPKvsBoib006Llxzg/AAAABYHT2zyXcJp93bixGLwPzi_bgvP3imHZOLCCVBXZAG-q4j4cyE4WJ7HHuO0swo56FE1c5vT8uZRij_BLNlk83np0CiGJe0Sfig.png?r=022"
"Alice in Borderland","Yaba","7e38ea80-9781-11f0-9d8b-0afffec996d9","https://occ-0-8782-2219.1.nflxso.net/dnm/api/v6/vN7bi_My87NPKvsBoib006Llxzg/AAAABa7RoAc8nQeKFzohmbpUeUtXIDP-33G4XArrRlU5JPxGPth9hBVc8_uAUagOzhJREM-d-CRm11Ir4pgB6vL-Tuj5jixFZ2ji_A.png?r=2dc"
"Alice in Borderland","Tetsu","7e38c370-9781-11f0-bc19-0affe9b40ac7","https://occ-0-8782-2219.1.nflxso.net/dnm/api/v6/vN7bi_My87NPKvsBoib006Llxzg/AAAABRl37yIIHzuhUaNIYFp5oMZ0jJaL2NGbkiGHka_XnmZLrG6TkOzWul97FVrlrQAQpmygSpd_M90tqD7JSprq4I4loXxqn7qmJQ.png?r=13d"
"Alice in Borderland","Kazuya","7e2a1d72-9781-11f0-a91e-0e3ac1a05a31","https://occ-0-8782-2219.1.nflxso.net/dnm/api/v6/vN7bi_My87NPKvsBoib006Llxzg/AAAABe_sSxov-WZy3-ARroSht2fh7p2eNok1VFRsBfR-t_g7NCBMjxZt3dQfh7Mm1kOljMKzEizaqDMG6i5rkv2s9mdGsrDo4hFTUQ.png?r=794"
"Alice in Borderland","Sachiko","7e2848b0-9781-11f0-a91e-0e3ac1a05a31","https://occ-0-8782-2219.1.nflxso.net/dnm/api/v6/vN7bi_My87NPKvsBoib006Llxzg/AAAABaWdqw6htWLR2M7pHFVd9rg7fyi646LAkR55yNIo9abSMv1cb_ah4Lp5Mdx0iSkRf5RZzObQ2UNadP1CnkiQGoJ_qfsuwExe5w.png?r=904"
"Alice in Borderland","Rei","7e24ed50-9781-11f0-a209-0ebc3bc0dbdb","https://occ-0-8782-2219.1.nflxso.net/dnm/api/v6/vN7bi_My87NPKvsBoib006Llxzg/AAAABTd_R903fIBMfM6S-8r1lFK7qdnmiN3yrgdITI7WS9HDcxbx24rlBxcTDN87a8-12u--QXnNwsVuHTQBLY09tuuLhDKTCO0PdQ.png?r=be6"
"Alice in Borderland","Chishiya","7e286fc0-9781-11f0-8a96-0affff8fc713","https://occ-0-8782-2219.1.nflxso.net/dnm/api/v6/vN7bi_My87NPKvsBoib006Llxzg/AAAABZeRgJfd6XXxFAs3oW0eg5UjulvrfcWYLzYYIJ4k_XVtvFrsZzA68bVUGGw_0-Wg6Hfzq2AcOWeadFzaqzPcChEhoxhAsUVkww.png?r=c65"
"Alice in Borderland","The Watchman","7e2bf230-9781-11f0-a209-0ebc3bc0dbdb","https://occ-0-8782-2219.1.nflxso.net/dnm/api/v6/vN7bi_My87NPKvsBoib006Llxzg/AAAABdeXKq0XK0bzHQZnuRrlp0M9Yk7sD8MMCpnUywEemST2D8nnMTZo6S2QRxUU4ewosi0BPNrEvMoNb_qR0NP1NebKOWU5L6KBsw.png?r=5b1"
"Alice in Borderland","Joker","7e2bcb20-9781-11f0-a209-0ebc3bc0dbdb","https://occ-0-8782-2219.1.nflxso.net/dnm/api/v6/vN7bi_My87NPKvsBoib006Llxzg/AAAABXflDysomE4c5kCFaGpY4rW_CFEo4Oy3k1R4KNeTECZ-17nTSY5ij8kKL4o673FfAKvCa15-Camh5TF_wljuqOWL8tToHiz-Dw.png?r=4ae"
"Arcane: League of Legends","Jinx","b3fa5441-dc7e-11ec-9ee4-0abe5493b5e9","https://occ-0-8782-2219.1.nflxso.net/dnm/api/v6/vN7bi_My87NPKvsBoib006Llxzg/AAAABaSX2NqfYXqDB_Z33yOHnpIiTcBqMDAEzIl4lYXzhlFB16oLyY4P0Vy0IdAZgSH926Z7vwuXhWa3U2ZeutsSPpEYfX2LyyGtOg.png?r=87b"
"Arcane: League of Legends","Vi","b3fa5441-dc7e-11ec-85ee-0ae1ebf1e699","https://occ-0-8782-2219.1.nflxso.net/dnm/api/v6/vN7bi_My87NPKvsBoib006Llxzg/AAAABQvEeRlO6uh4Ltrr6A88A1_ZzmDYXBpNLQtrfaC_JerFQ1EyU0r_swymIEoF1U6dZIBepb1_y1qvlWG7jPmzdORFh1w6mSYkPQ.png?r=e31"
"Arcane: League of Legends","Caitlyn","b3fa7b50-dc7e-11ec-b641-0af0a19f5faf","https://occ-0-8782-2219.1.nflxso.net/dnm/api/v6/vN7bi_My87NPKvsBoib006Llxzg/AAAABQdzyJ2Un-NhhiXmyLgTgXGOGliBwzmPr7U9DEeF83M8WLMQbjC9s2tVR60x8ngQ6gFBAPHoo7ddOupjPr1ZgShlKdn83yn62A.png?r=375"
"Arcane: League of Legends","Ekko","b3fa7b50-dc7e-11ec-8bf7-0a9a56c0e377","https://occ-0-8782-2219.1.nflxso.net/dnm/api/v6/vN7bi_My87NPKvsBoib006Llxzg/AAAABQMIrtIGZuK6nd_xSsq_VisWrmiP3JY5og-IUazwMvBYuWFdiJXPZnbVLjyQ-mn3KjjaYwzBgOJLPTSqg9d-OwQPBKBTyMuHrQ.png?r=2da"
"Arcane: League of Legends","Viktor","b3fa5441-dc7e-11ec-8e7f-0a4874bcc633","https://occ-0-8782-2219.1.nflxso.net/dnm/api/v6/vN7bi_My87NPKvsBoib006Llxzg/AAAABaP2UtcdywvAI_lVC-GQd8uN5PzAWVvj_QrTfeQTXZWuPrNu8B7gPb2xUdB8nadBg4Nqw4rHDY6rA_j3RsA8KK5GvAgMKJ4RUg.png?r=725"
"Arcane: League of Legends","Mel","b3fa7b50-dc7e-11ec-bd3e-0a1e28aa3905","https://occ-0-8782-2219.1.nflxso.net/dnm/api/v6/vN7bi_My87NPKvsBoib006Llxzg/AAAABRjz4P_ojPCKK-fQcL6PiG9dZH9JTRwicLha2KZZjpNita3wC1esEc3r-hxETe5rJgwO7b7Iqge8ZBnCPGPhcIxxmfHA0DTBLQ.png?r=5f0"
"Arcane: League of Legends","Poro","b4175221-dc7e-11ec-a52c-0abe7cbb90a5","https://occ-0-8782-2219.1.nflxso.net/dnm/api/v6/vN7bi_My87NPKvsBoib006Llxzg/AAAABaNN3AwLTQSoIIXF44uhS3BHLoGAHYQoagbzZp9mp0Uq4wNVnADJ0dvLaQ1965xiTX5vaspCn_lZ5rMI6hDEeKO5xeu4PMG6GQ.png?r=a21"
"Arcane: League of Legends","Jayce","b4177931-dc7e-11ec-947a-0a1523fb73e1","https://occ-0-8782-2219.1.nflxso.net/dnm/api/v6/vN7bi_My87NPKvsBoib006Llxzg/AAAABQYh98qv-HviM-CKyns0-hQ_ocSQRbg2Qd-1ILs75Q2EWAgY8Og4LrwtzIcfI5c2Z9m4XWofBThxhwNVENg59wHZqe1JMQODQg.png?r=a4f"
"Arcane: League of Legends","Heimerdinger","b4170400-dc7e-11ec-9ee4-0abe5493b5e9","https://occ-0-8782-2219.1.nflxso.net/dnm/api/v6/vN7bi_My87NPKvsBoib006Llxzg/AAAABTHC_pC3TIX9O4KKbsRFc5dvJB4Dezp0saSnBHVO-OKxjIxkT8lTxCaB-YejbRhiSYWDQN3DZWVy75naVqyH5llswtB2OVRYYQ.png?r=bfe"
"Arcane: League of Legends","Sevika","b4172b11-dc7e-11ec-a3b5-0aacf8e083e9","https://occ-0-8782-2219.1.nflxso.net/dnm/api/v6/vN7bi_My87NPKvsBoib006Llxzg/AAAABTxT5nf1qzeylr6hqDheyzove_Is2Ju5s4utDm8acBDLsMar2JBR09OY4jyymwSCLOfsiagvFXsQbU2yuuEN-Ko095xRSMWRrQ.png?r=3d6"
"Arcane: League of Legends","Silco","b4175221-dc7e-11ec-a634-0a74c037ef69","https://occ-0-8782-2219.1.nflxso.net/dnm/api/v6/vN7bi_My87NPKvsBoib006Llxzg/AAAABa35TxjETvzZWaI-_L731vqCT9jJXcdZAOVSo5fczPnjD1mOaa2NI0lTiBXz4hz6GloSq8NkHvmnmSOnnQfiyCoDnQC5TrArKQ.png?r=a40"
"Arcane: League of Legends","Vander","b4170401-dc7e-11ec-85ee-0ae1ebf1e699","https://occ-0-8782-2219.1.nflxso.net/dnm/api/v6/vN7bi_My87NPKvsBoib006Llxzg/AAAABTWX0N-LvZ7aunlvUkaENvv0uoZdTIuv2dRLfY4Zj0_sg-anpcwPFfernqONIAHRKroqIJ7Vp-9CVdajM2DFLcbzLKd9Da-YCA.png?r=130"
"Ariana Grande","Ariana Grande","ef4cfc60-3bed-11eb-baf3-0a73e8b0b12d","https://occ-0-8782-2219.1.nflxso.net/dnm/api/v6/vN7bi_My87NPKvsBoib006Llxzg/AAAABe27mmVsEjGlG2VpNAJVIpjWoN4UHntPhMXnNcdeAYGK7gJWvrh4tSRpV5o8Gnqq8Sy0yk0Go-w6kMJTtFvSZx9rjM0aGF9dCQ.png?r=c55"
"Ask the StoryBots","Beep Green","cffd9580-6620-11e9-a8d8-124bf1e73cce","https://occ-0-8782-2219.1.nflxso.net/dnm/api/v6/vN7bi_My87NPKvsBoib006Llxzg/AAAABRYFAl0u_-ehw-ETpQENcEGorE1geuBep3bbsmztYIvZZr3-i9jL_JDzQgbN5aSHp6JJcX7cyflVd8aBYVN1z2Gu6dO3P557Gg.png?r=77b"
"Ask the StoryBots","Bo Purple","d00388f0-6620-11e9-a8d8-124bf1e73cce","https://occ-0-8782-2219.1.nflxso.net/dnm/api/v6/vN7bi_My87NPKvsBoib006Llxzg/AAAABdCrC3QbLVrbajNyH92_P3xZhl0cPNEp-GwkChlxfdNloODeZjQPRVTZxn7Bk5_wqP0vPo2M6zXF_q1BhWlJojx6Bh7RH4hhTQ.png?r=cab"
"Ask the StoryBots","Bang Blue","d00361e0-6620-11e9-a8d8-124bf1e73cce","https://occ-0-8782-2219.1.nflxso.net/dnm/api/v6/vN7bi_My87NPKvsBoib006Llxzg/AAAABcyzwWTnLqUaixY3S3gvSABhL0O2FwCWE7r9SScyAnBoGL2o5oktXdAwY8-Cr31F07d5cvmzfUCvNK1NwuaT0yMpTtabRHk2fw.png?r=7bc"
"Ask the StoryBots","Bing Yellow","d0033ad0-6620-11e9-a8d8-124bf1e73cce","https://occ-0-8782-2219.1.nflxso.net/dnm/api/v6/vN7bi_My87NPKvsBoib006Llxzg/AAAABZeRxaZqpqYZVBhw6Ojd0_YUreGaC2w_KLZMX3-Tpi1u1PxsGFnTM3Fn2ZAPpYrG2_4IMGJhYAksrj8nCuV_ubPvZrDZy154KA.png?r=f0a"
"Ask the StoryBots","Boop Red","d00388f1-6620-11e9-a8d8-124bf1e73cce","https://occ-0-8782-2219.1.nflxso.net/dnm/api/v6/vN7bi_My87NPKvsBoib006Llxzg/AAAABbgoLiQMY43o52bVEbQ9KI0I1hnwuQ3VdGt2Oe98GMfpqhbdx5SbKwB4XicUC8zFLfd_kVo6Umt9pyAsiA9fUIR-BvWWnglsPA.png?r=f22"
"Ask the StoryBots","Hap","d00361e1-6620-11e9-a8d8-124bf1e73cce","https://occ-0-8782-2219.1.nflxso.net/dnm/api/v6/vN7bi_My87NPKvsBoib006Llxzg/AAAABYTUOQLZUhqOc4DCRILAq8GtHXdThhBpVlXzEuF0MxKWHAb9lbI2PeQZpd2_QDh8LfP1KbBBTr4D3O-tptuYcQlrflFyV9s-Eg.png?r=580"
"Asterix & Obelix","Ast̩rix","ecf061b0-21b1-11f0-b501-12cfc5d998c1","https://occ-0-8782-2219.1.nflxso.net/dnm/api/v6/vN7bi_My87NPKvsBoib006Llxzg/AAAABd8ljYJfe-jNGljyqLdL3fYMYJrxCV1sQoe1oNfmX1HhAA62N_ZixOpbdQQzRM0Tyyc40WsqaOHR2t4eKolG20r-mX32MAwsmA.png?r=bfe"
"Asterix & Obelix","Ob̩lix","ece56530-21b1-11f0-a272-12f80588fe31","https://occ-0-8782-2219.1.nflxso.net/dnm/api/v6/vN7bi_My87NPKvsBoib006Llxzg/AAAABVDB2dhQpk2WpLTWtmLsiEf8PIP9wGNYPTdyVuySuto5vi4mOY59kNt3UK1df3u7mcO58txH5b_hfoti82HDaVp8Nw69pFcEUg.png?r=90c"
